latitude, longitude, name
46.501523, 15.555494, Mariborska Koca
46.494869, 15.508228, Ruska Koca
46.480118, 15.444720, Pri Bajgotu (Waterfall)
46.501790, 15.398988, Koca Na Klopnem Vrhu
46.467225, 15.344005, Koca Na Pesku
46.48127, 15.31504, Lovrenska Jezera (Lake)
46.497852, 15.255666, Ribniska Koca
46.485837, 15.233047, Crni Vrh (Skorjanka)
46.502758, 15.210150, Grmorskov Dom
46.502758, 15.210150, Partizanski Dom
46.528105, 15.128535, Koca Pod Kremzarjevim Vrhom
46.510856, 15.083758, Slovenj Gradec (Roundabout)
46.496228, 15.012771, Postarski Dom Pod Plesivcem
46.484765, 14.965121, Dom Na Urslji Gori
46.438156, 14.964365, Andrejev Dom Na Slemenu
46.413334, 14.900267, Dom Na Smrekovcu
46.417513, 14.846107, Komen (Vrh)
46.415876, 14.807684, Koca Na Travniku
46.409317, 14.759137, Koca Na Loki Pod Raduho
46.410013, 14.737203, Raduha (Vrh)
46.423422, 14.743398, Koca Na Grohatu Pod Raduho
46.398503, 14.707058, Robanov Kot (Guest House Pri Rogovilcu)
46.355693, 14.639715, Kocbekov Dom Na Korosici
46.363906, 14.637479, Ojstrica (Vrh)
46.359191, 14.597424, Kamniska Koca Na Kamniskem Sedlu
46.369500, 14.587690, Frischaufov Dom Na Okreslju
46.370543, 14.549401, Kranjska Koca Na Ledinah (!)
46.366752, 14.564992, Koroska Rinka
46.363338, 14.557771, Skuta (Bivak)
46.353412, 14.547312, Bivak Pavla Kamperla
46.344071, 14.546871, Cojzova Koca Na Kokrskem Sedlu
46.357238, 14.535277, Grintovec (Vrh)
46.358623, 14.521926, Jezerska Kocna (Vrh)
46.369906, 14.535968, Ceska Koca Na Spodnjih Ravneh
46.393421, 14.499710, Zgornje Jezersko
46.337066, 14.416949, Planinski Dom Na Kaliscu
46.350264, 14.404727, Storzic (Vrh)
46.359299, 14.389741, Dom Pod Storzicem
46.348613, 14.363613, Tolsti Vrh (Vrh)
46.351711, 14.333365, Koca Na Kriski Gori
46.361629, 14.307688, Trzic
46.358758, 14.277523, Brezje Pri Trzicu
46.376189, 14.245999, Koca Na Dobrci
46.410189, 14.243355, Koca Na Prevalu
46.421945, 14.231660, Begunjscica (Vrh)
46.417807, 14.212270, Roblekov Dom Na Begunjscici
46.429013, 14.233584, Planinski Dom Na Zelenici
46.431348, 14.174853, Presernova Koca Na Stolu
46.434069, 14.173846, Stol (Vrh)
46.460394, 14.130974, Sedlo Seca (Sedlo)
46.483960, 14.094175, Sedlo Kocna (Sedlo)
46.485893, 14.061937, Koca Na Golici
46.491403, 14.053591, Golica (Vrh)
46.480743, 14.019703, Rozca Mokotova Bajta
46.467810, 13.947975, Dovje
46.464969, 13.944225, Dovje Mojstrana (Intersection)
