latitude, longitude, name
43.160598, -4.806355, Pass
43.210308, -4.763097, Fork
43.199449, -4.737385, Pass
43.200744, -4.727201, Pass
43.206410, -4.718124, Asc
43.211722, -4.715449, Des
# Refugio Caseton de Andara
43.226107, -4.722976, Asc
43.227505, -4.724678, Pass
43.227333, -4.754695, Cross
43.229811, -4.758280, Asc
43.231844, -4.763822, Des
43.232519, -4.779405, Fork
# Refugio Vega de Urriellu
43.203992, -4.823110, MPass
43.207780, -4.829909, Pass1
43.209476, -4.834754, Pass2
43.209067, -4.838875, Pass
43.210967, -4.844394, MPass
43.213566, -4.854525, Pass
# Refugio Cabrones
43.217127, -4.856377, Pass
43.219571, -4.856905, Pass
43.221698, -4.860157, ?
43.225635, -4.858592, Pass
43.235246, -4.855870, Des
# El Caleyon
43.253736, -4.837918, Fork
43.227632, -4.894694, Asc
43.233796, -4.915671, Pass
43.234914, -4.919917, Fork
# Refugio Vega de Ario
43.239577, -4.925991, Fork (!)
43.232689, -4.957108, PrePass
43.230342, -4.958697, Pass
43.228830, -4.960379, ?
43.228392, -4.964300, Pass
43.227921, -4.965587, Valley
43.228790, -4.966392, EndValley
43.227935, -4.969544, MPass
# Refugio Vegarredonda
43.222786, -4.985155, Turn
43.216845, -4.986669, Pass
43.214558, -4.984575, Pass
43.212582, -4.980702, Des
43.208528, -4.985637, Pass
43.205685, -4.984964, Pass
43.203017, -4.975973, Pass
43.196545, -4.972238, Pass
# Refugio de Llago / Vega Huerta
43.190006, -4.963190, Pass
43.182668, -4.963463, Spine
43.177579, -4.962966, Pass
43.169077, -4.967666, Pass
43.167100, -4.972849, Pass
43.165591, -4.991080, Valley
43.153209, -4.983568, Pass
43.153073, -4.967096, Valley
# Caldevilla de Valdeon
43.170757, -4.893951, Pass
43.169001, -4.878090, Asc
43.172738, -4.880416, Spine
43.170926, -4.871838, Pass
# Refugio Collado Jermoso
43.166805, -4.859424, Pass
43.166206, -4.845890, Pass
43.166771, -4.839828, Pass
43.170305, -4.837476, Plateau
43.174981, -4.837285, Pass
# Refugio Cabana Veronica
